Unnamed: 0,match_url,url_team1,url_team2,event_url,players_url_1,players_url_2,maps_url,date,total_maps,maps_played,score1,score2,h2h_wins1,h2h_wins2,rank1,rank2,10last_maps1_score_team1,10last_maps1_opponent_score_team1,10last_maps2_score_team1,10last_maps2_opponent_score_team1,10last_maps3_score_team1,10last_maps3_opponent_score_team1,10last_maps4_score_team1,10last_maps4_opponent_score_team1,10last_maps5_score_team1,10last_maps5_opponent_score_team1,10last_maps6_score_team1,10last_maps6_opponent_score_team1,10last_maps7_score_team1,10last_maps7_opponent_score_team1,10last_maps8_score_team1,10last_maps8_opponent_score_team1,10last_maps9_score_team1,10last_maps9_opponent_score_team1,10last_maps10_score_team1,10last_maps10_opponent_score_team1,10last_maps11_score_team1,10last_maps11_opponent_score_team1,10last_maps12_score_team1,10last_maps12_opponent_score_team1,10last_maps13_score_team1,10last_maps13_opponent_score_team1,10last_maps14_score_team1,10last_maps14_opponent_score_team1,10last_maps15_score_team1,10last_maps15_opponent_score_team1,10last_maps1_score_team2,10last_maps1_opponent_score_team2,10last_maps2_score_team2,10last_maps2_opponent_score_team2,10last_maps3_score_team2,10last_maps3_opponent_score_team2,10last_maps4_score_team2,10last_maps4_opponent_score_team2,10last_maps5_score_team2,10last_maps5_opponent_score_team2,10last_maps6_score_team2,10last_maps6_opponent_score_team2,10last_maps7_score_team2,10last_maps7_opponent_score_team2,10last_maps8_score_team2,10last_maps8_opponent_score_team2,10last_maps9_score_team2,10last_maps9_opponent_score_team2,10last_maps10_score_team2,10last_maps10_opponent_score_team2,10last_maps11_score_team2,10last_maps11_opponent_score_team2,10last_maps12_score_team2,10last_maps12_opponent_score_team2,10last_maps13_score_team2,10last_maps13_opponent_score_team2,10last_maps14_score_team2,10last_maps14_opponent_score_team2,10last_maps15_score_team2,10last_maps15_opponent_score_team2
0,/matches/2341901/endpoint-vs-forze-home-sweet-home-cup-7,/team/7234/endpoint,/team/8135/forze,/events/5351/home-sweet-home-cup-7,"['/player/8983/MiGHTYMAX', '/player/7700/robiin', '/player/7996/CRUC1AL', '/player/13018/Thomas', '/player/9019/Surreal']","['/player/8726/facecrack', '/player/13157/Jerry', '/player/12733/xsepower', '/player/11654/almazer', '/player/12732/FL1T']","['/stats/matches/mapstatsid/103759/forze-vs-endpoint', '/stats/matches/mapstatsid/103762/endpoint-vs-forze']",2020-06-07,3,2,2,0,2,1,World rank: #32,World rank: #25,19,17,10,16,16,12,16,11,16,7,16,11,2,16,16,11,9,16,9,16,4,16,8,16,16,7,16,10,7,16,16,8,8,16,16,3,16,9,28,26,9,16,3,16,11,16,16,3,13,16,12,16,16,11,25,21,16,19,9,16
1,/matches/2341909/ldlc-vs-giants-lootbet-season-7-closed-qualifier,/team/4674/ldlc,/team/4949/giants,/events/5360/lootbet-season-7-closed-qualifier,"['/player/9656/hAdji', '/player/147/SIXER', '/player/8047/Lambert', '/player/8374/bodyy', '/player/19926/afroo']","['/player/629/fox', '/player/10110/BLOODZ', '/player/14094/renatoohaxx', '/player/15885/pr', '/player/16102/NOPEEJ']","['/stats/matches/mapstatsid/103758/ldlc-vs-giants', '/stats/matches/mapstatsid/103761/ldlc-vs-giants']",2020-06-07,3,2,2,0,0,0,World rank: #78,World rank: #95,10,16,11,16,10,16,14,16,16,8,9,16,10,16,16,2,13,16,16,6,3,16,16,11,16,14,8,16,9,16,5,16,14,16,16,10,7,16,7,16,19,17,16,19,10,16,16,3,16,14,11,16,16,12,16,14,15,19,11,16
2,/matches/2341556/tyloo-vs-vici-dreamhack-masters-spring-2020-asia,/team/4863/tyloo,/team/7606/vici,/events/5287/dreamhack-masters-spring-2020-asia,"['/player/8605/somebody', '/player/7028/Summer', '/player/8552/Attacker', '/player/16207/DANK1NG', '/player/15683/SLOWLY']","['/player/8600/advent', '/player/8604/aumaN', '/player/8601/zhokiNg', '/player/8950/Kaze', '/player/19645/JamYoung']","['/stats/matches/mapstatsid/103745/vici-vs-tyloo', '/stats/matches/mapstatsid/103747/tyloo-vs-vici', '/stats/matches/mapstatsid/103753/vici-vs-tyloo', '/stats/matches/mapstatsid/103757/tyloo-vs-vici']",2020-06-07,5,4,3,2,38,25,World rank: #52,World rank: #67,16,7,6,16,16,6,16,13,16,7,10,16,9,16,16,12,15,19,7,16,16,9,16,9,16,4,11,16,10,16,16,14,16,12,7,16,16,6,6,16,16,10,16,11,20,22,16,13,11,16,9,16,4,16,16,11,16,10,16,8
3,/matches/2341711/mad-lions-vs-ence-blast-premier-spring-2020-europe-showdown,/team/8362/mad-lions,/team/4869/ence,/events/5205/blast-premier-spring-2020-europe-showdown,"['/player/10330/acoR', '/player/14148/sjuush', '/player/9612/Bubzkji', '/player/14419/roeJ', '/player/8151/AcilioN']","['/player/695/allu', '/player/4076/Aerial', '/player/11916/sergej', '/player/14087/Jamppi', '/player/5479/suNny']","['/stats/matches/mapstatsid/103749/mad-lions-vs-ence', '/stats/matches/mapstatsid/103754/ence-vs-mad-lions']",2020-06-07,3,2,0,2,2,0,World rank: #15,World rank: #21,15,15,16,5,16,7,16,10,16,10,16,5,9,16,14,16,13,16,7,16,16,11,16,13,16,13,13,16,16,5,16,9,16,6,16,13,15,15,16,14,15,15,17,19,11,16,9,16,6,16,16,14,16,12,16,5,22,20,11,16
4,/matches/2341908/hard4u-vs-navi-junior-lootbet-season-7-closed-qualifier,/team/10573/hard4u,/team/10371/navi-junior,/events/5360/lootbet-season-7-closed-qualifier,"['/player/11133/Koshak', '/player/17293/Porya', '/player/17119/reN', '/player/14917/hiji', '/player/12734/Heyz1ng']","['/player/16871/Gospadarov', '/player/18225/KAPACHO', '/player/18987/B1T', '/player/14175/Aunkere', '/player/17008/Topa']","['/stats/matches/mapstatsid/103746/hard4u-vs-navi-junior', '/stats/matches/mapstatsid/103751/hard4u-vs-navi-junior']",2020-06-07,3,2,2,0,0,0,"
Unranked
",World rank: #55,16,10,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,16,14,10,16,22,20,16,12,13,16,16,19,13,16,16,19,16,3,16,13,16,11,16,13,16,4,16,14
5,/matches/2341876/forbidden-vs-paradox-esea-mdl-season-34-australia,/team/10715/forbidden,/team/7983/paradox,/events/5264/esea-mdl-season-34-australia,"['/player/20041/combo', '/player/19905/Zym', '/player/19731/charizard', '/player/20039/rayn', '/player/19906/damyo']","['/player/9103/rbz', '/player/17402/bedonka', '/player/14505/ekul', '/player/19732/Versa', '/player/12875/dangeR']",['/stats/matches/mapstatsid/103750/paradox-vs-forbidden'],2020-06-07,1,1,3,16,0,0,World rank: #150,World rank: #122,7,16,6,16,16,13,6,16,3,16,5,16,16,13,5,16,10,16,0,0,0,0,0,0,0,0,0,0,0,0,16,6,11,16,16,14,14,16,16,13,9,16,3,16,7,16,13,16,16,13,16,14,9,16,12,16,10,16,16,5
6,/matches/2341560/renegades-vs-avant-dreamhack-masters-spring-2020-oceania,/team/6211/renegades,/team/5293/avant,/events/5288/dreamhack-masters-spring-2020-oceania,"['/player/9115/dexter', '/player/11485/malta', '/player/9102/Sico', '/player/11140/INS', '/player/11162/Hatz']","['/player/2007/ap0c', '/player/14294/HaZR', '/player/12591/sterling', '/player/8767/ofnu', '/player/12715/BL1TZ']","['/stats/matches/mapstatsid/103741/renegades-vs-avant', '/stats/matches/mapstatsid/103742/avant-vs-renegades', '/stats/matches/mapstatsid/103743/renegades-vs-avant', '/stats/matches/mapstatsid/103744/avant-vs-renegades']",2020-06-07,5,4,3,2,14,4,World rank: #39,World rank: #81,16,7,16,14,21,25,16,10,7,16,16,11,16,10,16,10,16,12,22,20,7,16,16,11,16,3,19,15,16,6,16,13,16,10,13,16,7,16,14,16,25,21,16,13,16,10,16,5,16,9,14,16,16,9,6,16,16,11,14,16
7,/matches/2341911/asterius-vs-neverest-liga-dell-5-may-20,/team/10678/asterius,/team/9941/neverest,/events/5352/liga-dell-5-may-20,"['/player/17130/TEKO', '/player/15298/kz1NNN', '/player/19973/roz', '/player/17132/Leomonster', '/player/17133/desh']","['/player/18875/RICIOLI', '/player/18877/phx', '/player/16774/GYZER', '/player/19972/ckzao', '/player/17225/vLa']","['/stats/matches/mapstatsid/103738/asterius-vs-neverest', '/stats/matches/mapstatsid/103740/neverest-vs-asterius']",2020-06-07,3,2,0,2,1,2,World rank: #184,World rank: #147,8,16,13,16,16,12,12,16,16,5,16,8,7,16,13,16,16,11,0,0,0,0,0,0,0,0,0,0,0,0,11,16,6,16,16,8,16,8,16,13,12,16,16,6,16,9,9,16,11,16,9,16,10,16,10,16,19,17,16,11
8,/matches/2341702/evil-geniuses-vs-mibr-blast-premier-spring-2020-americas-showdown,/team/10399/evil-geniuses,/team/9215/mibr,/events/5273/blast-premier-spring-2020-americas-showdown,"['/player/9136/Brehze', '/player/11219/CeRq', '/player/10671/Ethan', '/player/8523/tarik', '/player/8507/stanislaw']","['/player/2023/FalleN', '/player/8564/fer', '/player/9217/TACO', '/player/5736/kNgV-', '/player/11163/trk']","['/stats/matches/mapstatsid/103724/evil-geniuses-vs-mibr', '/stats/matches/mapstatsid/103735/mibr-vs-evil-geniuses', '/stats/matches/mapstatsid/103737/evil-geniuses-vs-mibr']",2020-06-06,3,3,1,2,9,3,World rank: #9,World rank: #18,15,15,16,14,16,12,19,17,16,6,2,16,13,16,16,6,8,16,12,16,16,13,13,16,14,16,17,19,16,6,16,9,16,8,12,16,15,15,15,15,16,13,11,16,11,16,16,10,16,12,12,16,11,16,10,16,14,16,16,5
9,/matches/2341907/gunrunners-vs-esuba-sazka-eleague-spring-2020,/team/4978/gunrunners,/team/5412/esuba,/events/5362/sazka-eleague-spring-2020,"['/player/19069/FORSYY', '/player/19815/Dytor', '/player/11412/twist', '/player/19352/xperrience', '/player/15438/LucasP']","['/player/14388/The%20eLiVe', '/player/13567/Blogg1s', '/player/15437/Levi', '/player/12809/luko', '/player/11260/NIO']","['/stats/matches/mapstatsid/103714/esuba-vs-gunrunners', '/stats/matches/mapstatsid/103718/gunrunners-vs-esuba', '/stats/matches/mapstatsid/103727/gunrunners-vs-esuba']",2020-06-06,3,3,1,2,0,0,"
Unranked
","
Unranked
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
