,match_url
0,/matches/2341924/hard-legion-vs-hellraisers-lootbet-season-7
1,/matches/2341888/bantz-vs-truckers-with-attitude-lpl-pro-league-season-5
2,/matches/2341576/natus-vincere-vs-mad-lions-dreamhack-masters-spring-2020-europe
3,/matches/2342056/pc419-vs-overt-esea-mdl-season-34-australia
4,/matches/2342055/order-vs-skyfire-esea-mdl-season-34-australia
5,/matches/2341973/japaleno-vs-honoris-home-sweet-home-cup-8
6,/matches/2342053/incept-vs-pc419-esea-mdl-season-34-australia
7,/matches/2341887/rooster-vs-downfall-lpl-pro-league-season-5
8,/matches/2342054/ground-zero-vs-forbidden-esea-mdl-season-34-australia
9,/matches/2342052/control-vs-order-esea-mdl-season-34-australia
10,/matches/2342050/mako-vs-avant-esea-mdl-season-34-australia
11,/matches/2341745/skyfire-vs-paradox-esea-mdl-season-34-australia
12,/matches/2341923/agf-vs-nordavind-lootbet-season-7
13,/matches/2342051/incept-vs-order-esea-mdl-season-34-australia
14,/matches/2341972/copenhagen-flames-vs-illuminar-home-sweet-home-cup-8
15,/matches/2341917/really-weird-vs-incept-esea-mdl-season-34-australia
16,/matches/2342007/recon-5-vs-buffdaddys-paypal-esea-mdl-season-34-north-america
17,/matches/2342006/keep-the-comms-up-vs-warriors-international-esea-mdl-season-34-north-america
18,/matches/2342005/infinity-vs-aa-esea-mdl-season-34-north-america
19,/matches/2341661/mythic-vs-recon-5-esea-mdl-season-34-north-america
20,/matches/2341656/keep-the-comms-up-vs-swedish-canadians-esea-mdl-season-34-north-america
21,/matches/2342010/mythic-vs-levitate-esea-mdl-season-34-north-america
22,/matches/2341994/furia-vs-triumph-esl-pro-league-season-12-north-america-qualifier
23,/matches/2342067/z-zombies-vs-cr4zy-weplay-clutch-island-open-qualifier-3
24,/matches/2342045/9z-vs-hawks-aorus-league-2020-2-southern-cone
25,/matches/2342061/pro100-vs-cr4zy-weplay-clutch-island-open-qualifier-3
26,/matches/2341575/g2-vs-big-dreamhack-masters-spring-2020-europe
27,/matches/2342060/sgpro-vs-z-zombies-weplay-clutch-island-open-qualifier-3
28,/matches/2341905/giants-vs-baecon-master-league-portugal-v
29,/matches/2342036/wygers-vs-kpi-orange-unity-league-2020
30,/matches/2342057/endpoint-vs-ex-smash-home-sweet-home-cup-8
31,/matches/2341883/espada-vs-hard-legion-hellcase-cup-8
32,/matches/2341635/alternate-attax-vs-singularity-esea-mdl-season-34-europe
33,/matches/2341574/vitality-vs-nip-dreamhack-masters-spring-2020-europe
34,/matches/2341986/mens-vs-movistar-riders-esea-mdl-season-34-europe
35,/matches/2341984/unicorns-of-love-vs-ago-esea-mdl-season-34-europe
36,/matches/2342047/smash-vs-fate-home-sweet-home-cup-8
37,/matches/2341882/navi-junior-vs-hard-legion-hellcase-cup-8
38,/matches/2341985/wisla-krakow-vs-movistar-riders-esea-mdl-season-34-europe
39,/matches/2341980/unicorns-of-love-vs-gamerlegion-esea-mdl-season-34-europe
40,/matches/2341981/sprout-vs-nemiga-esea-mdl-season-34-europe
41,/matches/2341922/honoris-vs-wisla-krakow-lootbet-season-7
42,/matches/2341633/sprout-vs-pact-esea-mdl-season-34-europe
43,/matches/2341983/ago-vs-nemiga-esea-mdl-season-34-europe
44,/matches/2341573/fnatic-vs-mad-lions-dreamhack-masters-spring-2020-europe
45,/matches/2342048/endpoint-vs-forze-home-sweet-home-cup-8
46,/matches/2341827/avant-vs-renegades-esl-australia-nz-championship-season-11
47,/matches/2341921/alternate-attax-vs-skade-lootbet-season-7
48,/matches/2342026/overt-vs-bantz-esea-mdl-season-34-australia
49,/matches/2342024/skyfire-vs-rooster-esea-mdl-season-34-australia
50,/matches/2341971/forze-vs-fate-home-sweet-home-cup-8
51,/matches/2341826/ground-zero-vs-paradox-esl-australia-nz-championship-season-11
52,/matches/2342025/really-weird-vs-mako-esea-mdl-season-34-australia
53,/matches/2341970/smash-vs-endpoint-home-sweet-home-cup-8
54,/matches/2342004/blood-sweat-and-tears-vs-infinity-esea-mdl-season-34-north-america
55,/matches/2342042/mythic-vs-ex-morning-light-esea-mdl-season-34-north-america
56,/matches/2342002/keep-the-comms-up-vs-teamone-esea-mdl-season-34-north-america
57,/matches/2341084/new-england-whalers-vs-aa-esea-mdl-season-34-north-america
58,/matches/2342041/sgpro-vs-hellraisers-weplay-clutch-island-open-qualifier-2
59,/matches/2342001/mythic-vs-swedish-canadians-esea-mdl-season-34-north-america
60,/matches/2341999/yeah-vs-levitate-winners-league-season-4-north-america
61,/matches/2341993/furia-vs-infinity-esl-pro-league-season-12-north-america-qualifier
62,/matches/2342037/hellraisers-vs-quantum-bellator-fire-weplay-clutch-island-open-qualifier-2
63,/matches/2342040/sgpro-vs-pro100-weplay-clutch-island-open-qualifier-2
64,/matches/2341572/big-vs-faze-dreamhack-masters-spring-2020-europe
65,/matches/2342034/north-vs-movistar-riders-home-sweet-home-cup-8
66,/matches/2342035/s2v-vs-tenerife-titans-orange-unity-league-2020
67,/matches/2341880/espada-vs-hard-legion-hellcase-cup-8
68,/matches/2341571/g2-vs-natus-vincere-dreamhack-masters-spring-2020-europe
69,/matches/2341803/sprout-vs-unicorns-of-love-esea-mdl-season-34-europe
70,/matches/2341960/singularity-vs-ldlc-winners-league-season-4-europe
71,/matches/2341975/gamerlegion-vs-sprout-esea-mdl-season-34-europe
72,/matches/2341881/navi-junior-vs-japaleno-hellcase-cup-8
73,/matches/2342022/movistar-riders-vs-ambush-home-sweet-home-cup-8
74,/matches/2341570/astralis-vs-nip-dreamhack-masters-spring-2020-europe
75,/matches/2342021/ago-vs-north-home-sweet-home-cup-8
76,/matches/2341920/fate-vs-nemiga-lootbet-season-7
77,/matches/2341749/order-vs-paradox-esl-australia-nz-championship-season-11
78,/matches/2341988/control-vs-rooster-esea-mdl-season-34-australia
79,/matches/2341969/north-vs-ambush-home-sweet-home-cup-8
80,/matches/2341990/skyfire-vs-forbidden-esea-mdl-season-34-australia
81,/matches/2341722/renegades-vs-truckers-with-attitude-esl-australia-nz-championship-season-11
82,/matches/2341919/apeks-vs-pact-lootbet-season-7
83,/matches/2341968/movistar-riders-vs-ago-home-sweet-home-cup-8
84,/matches/2341997/new-england-whalers-vs-ethereal-winners-league-season-4-north-america
85,/matches/2342013/sgpro-vs-hollywood-weplay-clutch-island-open-qualifier-1
86,/matches/2341992/infinity-vs-triumph-esl-pro-league-season-12-north-america-qualifier
87,/matches/2341569/heroic-vs-vitality-dreamhack-masters-spring-2020-europe
88,/matches/2341998/ztrewq-vs-hollywood-weplay-clutch-island-open-qualifier-1
89,/matches/2341904/saw-vs-ftw-master-league-portugal-v
90,/matches/2341996/unique-vs-sgpro-weplay-clutch-island-open-qualifier-1
91,/matches/2341422/japaleno-vs-hard-legion-hellcase-cup-8
92,/matches/2341945/kova-vs-big-academy-winners-league-season-4-europe
93,/matches/2341944/izako-boars-vs-arg-winners-league-season-4-europe
94,/matches/2341568/mad-lions-vs-spirit-dreamhack-masters-spring-2020-europe
95,/matches/2341421/espada-vs-navi-junior-hellcase-cup-8
96,/matches/2341913/hard4u-vs-navi-junior-lootbet-season-7-closed-qualifier
97,/matches/2341567/complexity-vs-fnatic-dreamhack-masters-spring-2020-europe
98,/matches/2341874/bantz-vs-incept-esea-mdl-season-34-australia
99,/matches/2341914/navi-junior-vs-ldlc-lootbet-season-7-closed-qualifier
100,/matches/2341916/paradox-vs-mako-esea-mdl-season-34-australia
101,/matches/2341877/ground-zero-vs-bantz-esea-mdl-season-34-australia
102,/matches/2341915/chiefs-vs-control-esea-mdl-season-34-australia
103,/matches/2341875/ground-zero-vs-really-weird-esea-mdl-season-34-australia
104,/matches/2341946/paquet-vs-9z-liga-dell-5-may-20
105,/matches/2341912/9z-vs-neverest-liga-dell-5-may-20
106,/matches/2341903/endpoint-vs-complexity-home-sweet-home-cup-7
107,/matches/2341708/geng-vs-evil-geniuses-blast-premier-spring-2020-americas-showdown
108,/matches/2341910/sinners-vs-esuba-sazka-eleague-spring-2020
